food_code,name,category,energy_kcal,protein_g,fat_g,carb_g,fiber_g
A001,"Amaranth seed, black (Amaranthus cruentus)",Cereals and millets,356.12,14.59,5.74,59.98,7.02
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",Cereals and millets,355.88,13.27,5.56,61.46,7.47
A003,Bajra (Pennisetum typhoideum),Cereals and millets,347.99,10.96,5.43,61.78,11.49
A004,Barley (Hordeum vulgare),Cereals and millets,315.73,10.94,1.3,61.29,15.64
A005,Jowar (Sorghum vulgare),Cereals and millets,334.13,9.97,1.73,67.68,10.22
A006,"Maize, dry (Zea mays)",Cereals and millets,334.13,8.8,3.77,64.77,12.24
A007,"Maize, tender, local (Zea mays)",Cereals and millets,119.98,3.57,1.4,22.69,3.67
A008,"Maize, tender, sweet (Zea mays)",Cereals and millets,96.8,4.16,1.35,16.42,3.3
A009,Quinoa (Chenopodium quinoa),Cereals and millets,328.39,13.11,5.5,53.65,14.66
A010,Ragi (Eleusine coracana),Cereals and millets,320.75,7.16,1.92,66.82,11.18
A011,Rice flakes (Oryza sativa),Cereals and millets,353.73,7.44,1.14,76.75,3.46
A012,Rice puffed (Oryza sativa),Cereals and millets,361.85,7.47,1.62,77.68,2.56
A013,"Rice, raw, brown (Oryza sativa)",Cereals and millets,353.73,9.16,1.24,74.8,4.43
A014,"Rice, parboiled, milled (Oryza sativa)",Cereals and millets,351.58,7.81,0.55,77.16,3.74
A015,"Rice, raw, milled (Oryza sativa)",Cereals and millets,356.36,7.94,0.52,78.24,2.81
A016,Samai (Panicum miliare),Cereals and millets,346.32,10.13,3.89,65.55,7.72
A017,Varagu (Paspalum scrobiculatum),Cereals and millets,331.74,8.92,2.55,66.19,6.39
A018,"Wheat flour, refined (Triticum aestivum)",Cereals and millets,351.82,10.36,0.76,74.27,2.76
A019,"Wheat flour, atta (Triticum aestivum)",Cereals and millets,320.27,10.57,1.53,64.17,11.36
A020,"Wheat, whole (Triticum aestivum)",Cereals and millets,321.94,10.59,1.47,64.72,11.23
A021,"Wheat, bulgur (Triticum aestivum)",Cereals and millets,341.78,10.84,1.45,69.06,8.81
A022,"Wheat, semolina (Triticum aestivum)",Cereals and millets,333.65,11.38,0.74,68.43,9.72
A023,"Wheat, vermicelli (Triticum aestivum)",Cereals and millets,332.7,9.7,0.45,70.39,9.28
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",Cereals and millets,340.11,10.37,0.49,71.42,9.55
